rosbag_timestamp,timestamp,idx01_left_hip_roll_position,idx02_left_hip_yaw_position,idx03_left_hip_pitch_position,idx04_left_tarsus_position,idx05_left_toe_pitch_position,idx06_left_toe_roll_position,idx07_right_hip_roll_position,idx08_right_hip_yaw_position,idx09_right_hip_pitch_position,idx10_right_tarsus_position,idx11_right_toe_pitch_position,idx12_right_toe_roll_position,idx13_left_arm_joint1_position,idx14_left_arm_joint2_position,idx15_left_arm_joint3_position,idx16_left_arm_joint4_position,idx17_left_arm_joint5_position,idx18_left_arm_joint6_position,idx19_left_arm_joint7_position,idx20_right_arm_joint1_position,idx21_right_arm_joint2_position,idx22_right_arm_joint3_position,idx23_right_arm_joint4_position,idx24_right_arm_joint5_position,idx25_right_arm_joint6_position,idx26_right_arm_joint7_position,idx01_left_hip_roll_velocity,idx02_left_hip_yaw_velocity,idx03_left_hip_pitch_velocity,idx04_left_tarsus_velocity,idx05_left_toe_pitch_velocity,idx06_left_toe_roll_velocity,idx07_right_hip_roll_velocity,idx08_right_hip_yaw_velocity,idx09_right_hip_pitch_velocity,idx10_right_tarsus_velocity,idx11_right_toe_pitch_velocity,idx12_right_toe_roll_velocity,idx13_left_arm_joint1_velocity,idx14_left_arm_joint2_velocity,idx15_left_arm_joint3_velocity,idx16_left_arm_joint4_velocity,idx17_left_arm_joint5_velocity,idx18_left_arm_joint6_velocity,idx19_left_arm_joint7_velocity,idx20_right_arm_joint1_velocity,idx21_right_arm_joint2_velocity,idx22_right_arm_joint3_velocity,idx23_right_arm_joint4_velocity,idx24_right_arm_joint5_velocity,idx25_right_arm_joint6_velocity,idx26_right_arm_joint7_velocity,idx01_left_hip_roll_effort,idx02_left_hip_yaw_effort,idx03_left_hip_pitch_effort,idx04_left_tarsus_effort,idx05_left_toe_pitch_effort,idx06_left_toe_roll_effort,idx07_right_hip_roll_effort,idx08_right_hip_yaw_effort,idx09_right_hip_pitch_effort,idx10_right_tarsus_effort,idx11_right_toe_pitch_effort,idx12_right_toe_roll_effort,idx13_left_arm_joint1_effort,idx14_left_arm_joint2_effort,idx15_left_arm_joint3_effort,idx16_left_arm_joint4_effort,idx17_left_arm_joint5_effort,idx18_left_arm_joint6_effort,idx19_left_arm_joint7_effort,idx20_right_arm_joint1_effort,idx21_right_arm_joint2_effort,idx22_right_arm_joint3_effort,idx23_right_arm_joint4_effort,idx24_right_arm_joint5_effort,idx25_right_arm_joint6_effort,idx26_right_arm_joint7_effort,idx01_left_hip_roll_stiffness,idx02_left_hip_yaw_stiffness,idx03_left_hip_pitch_stiffness,idx04_left_tarsus_stiffness,idx05_left_toe_pitch_stiffness,idx06_left_toe_roll_stiffness,idx07_right_hip_roll_stiffness,idx08_right_hip_yaw_stiffness,idx09_right_hip_pitch_stiffness,idx10_right_tarsus_stiffness,idx11_right_toe_pitch_stiffness,idx12_right_toe_roll_stiffness,idx13_left_arm_joint1_stiffness,idx14_left_arm_joint2_stiffness,idx15_left_arm_joint3_stiffness,idx16_left_arm_joint4_stiffness,idx17_left_arm_joint5_stiffness,idx18_left_arm_joint6_stiffness,idx19_left_arm_joint7_stiffness,idx20_right_arm_joint1_stiffness,idx21_right_arm_joint2_stiffness,idx22_right_arm_joint3_stiffness,idx23_right_arm_joint4_stiffness,idx24_right_arm_joint5_stiffness,idx25_right_arm_joint6_stiffness,idx26_right_arm_joint7_stiffness,idx01_left_hip_roll_damping,idx02_left_hip_yaw_damping,idx03_left_hip_pitch_damping,idx04_left_tarsus_damping,idx05_left_toe_pitch_damping,idx06_left_toe_roll_damping,idx07_right_hip_roll_damping,idx08_right_hip_yaw_damping,idx09_right_hip_pitch_damping,idx10_right_tarsus_damping,idx11_right_toe_pitch_damping,idx12_right_toe_roll_damping,idx13_left_arm_joint1_damping,idx14_left_arm_joint2_damping,idx15_left_arm_joint3_damping,idx16_left_arm_joint4_damping,idx17_left_arm_joint5_damping,idx18_left_arm_joint6_damping,idx19_left_arm_joint7_damping,idx20_right_arm_joint1_damping,idx21_right_arm_joint2_damping,idx22_right_arm_joint3_damping,idx23_right_arm_joint4_damping,idx24_right_arm_joint5_damping,idx25_right_arm_joint6_damping,idx26_right_arm_joint7_damping
0,0.0,-0.0840359106659889,-0.0424980893731117,-0.1086485677026212,0.1098132683038711,-0.0233687807321548,0.1401814222335815,0.076999120414257,0.0614646784961223,-0.1870665007829666,0.2626624144688249,-0.5015050668716431,0.0990523493384887,0.3151732180854622,1.31,0.0,-0.3480977534309384,1.5707963,0.0,0.0,-0.230287077757515,-1.31,0.0,0.0656864747415798,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25498806268114,7.007353984689863,0.0,0.0,0.0,0.0,-21.3931496037981,3.3174535454965293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
1944665,0.0019991397857666016,-0.0840359106659889,-0.0424980893731117,-0.1086485677026212,0.1098132683038711,-0.0233687807321548,0.1401814222335815,0.076999120414257,0.0614646784961223,-0.1870665007829666,0.2626624144688249,-0.5015050668716431,0.1027368287542784,0.3151732197546211,1.31,0.0,-0.3480977552744658,1.5707963,0.0,0.0,-0.2302870789771165,-1.31,0.0,0.0656864750894557,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.291338055995976,7.015113888435085,0.0,0.0,0.0,0.0,-21.693694176387226,3.6169691041473286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
3916150,0.003991365432739258,-0.0840359106659889,-0.0424980893731117,-0.1086485677026212,0.1098132683038711,-0.0233687807321548,0.1401814222335815,0.076999120414257,0.0614646784961223,-0.1870665007829666,0.2626624144688249,-0.5015050668716431,0.1063116027954629,0.3151732214171101,1.31,0.0,-0.3480977571106265,1.5707963,0.0,0.0,-0.2302870801918445,-1.31,0.0,0.0656864754359415,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.392397190581532,7.042647525345411,0.0,0.0,0.0,0.0,-22.5056921931016,4.156047072386887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
5908413,0.0059854984283447266,-0.0840359106659889,-0.0424980893731117,-0.1086485677026212,0.1098132683038711,-0.0233687807321548,0.1401814222335815,0.076999120414257,0.0614646784961223,-0.1870665007829666,0.2626624144688249,-0.5015050668716431,0.1097799379395712,0.3151732230729557,1.31,0.0,-0.3480977589394499,1.5707963,0.0,0.0,-0.2302870814017184,-1.31,0.0,0.0656864757810428,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.424114570498968,7.053711440301983,0.0,0.0,0.0,0.0,-22.978346063075467,4.587307088708704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
8034754,0.008009672164916992,-0.0840359106659889,-0.0424980893731117,-0.1086485677026212,0.1098132683038711,-0.0233687807321548,0.1401814222335815,0.076999120414257,0.0614646784961223,-0.1870665007829666,0.2626624144688249,-0.5015050668716431,0.1131450034047637,0.3151732247221847,1.31,0.0,-0.3480977607609653,1.5707963,0.0,0.0,-0.2302870826067577,-1.31,0.0,0.0656864761247649,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.481071117091387,7.074259587519219,0.0,0.0,0.0,0.0,-23.18756403913956,4.889071815504559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
9964237,0.009995222091674805,-0.1427854299545288,-0.1013422086834907,-0.1162075051199644,0.1226725680828094,0.0307712506055831,0.0798555538058281,0.0803896188735961,0.0471138842403888,-0.1626625710725784,0.2464853888452053,-0.5317685503959656,0.1160778943537477,0.3050049518709646,1.31,0.0,-0.360452871493407,1.5707963,0.0,0.0,-0.2259234068456032,-1.31,0.0,0.0631338716670206,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.262155594234317,4.085258850712556,0.0,0.0,0.0,0.0,-25.222804938131382,5.448442494344041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
11918259,0.011966943740844727,-0.1427854299545288,-0.1013422086834907,-0.1162075051199644,0.1226725680828094,0.0307712506055831,0.0798555538058281,0.0803896188735961,0.0471138842403888,-0.1626625710725784,0.2464853888452053,-0.5317685503959656,0.1185964584781233,0.3050049534542554,1.31,0.0,-0.3604528733645297,1.5707963,0.0,0.0,-0.2259234080183791,-1.31,0.0,0.0631338719947506,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.306413443013932,4.102430476394607,0.0,0.0,0.0,0.0,-25.484722766581037,5.85496115343167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
13892801,0.013985872268676758,-0.1427854299545288,-0.1013422086834907,-0.1162075051199644,0.1226725680828094,0.0307712506055831,0.0798555538058281,0.0803896188735961,0.0471138842403888,-0.1626625710725784,0.2464853888452053,-0.5317685503959656,0.1210400323556955,0.3050049550312193,1.31,0.0,-0.3604528752281755,1.5707963,0.0,0.0,-0.2259234091864685,-1.31,0.0,0.063133872321171,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.347904576074685,4.121956231887364,0.0,0.0,0.0,0.0,-25.702026165169027,6.262953404804101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
15938046,0.016002655029296875,-0.1427854299545288,-0.1013422086834907,-0.1162075051199644,0.1226725680828094,0.0307712506055831,0.0798555538058281,0.0803896188735961,0.0471138842403888,-0.1626625710725784,0.2464853888452053,-0.5317685503959656,0.123410848821063,0.3050049566018817,1.31,0.0,-0.3604528770843741,1.5707963,0.0,0.0,-0.2259234103498903,-1.31,0.0,0.063133872646287,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.38935064206684,4.150066196316043,0.0,0.0,0.0,0.0,-25.884827395086244,6.664907305807583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
17933336,0.017995595932006836,-0.1427854299545288,-0.1013422086834907,-0.1162075051199644,0.1226725680828094,0.0307712506055831,0.0798555538058281,0.0803896188735961,0.0471138842403888,-0.1626625710725784,0.2464853888452053,-0.5317685503959656,0.1257110742261743,0.3050049581662677,1.31,0.0,-0.3604528789331554,1.5707963,0.0,0.0,-0.225923411508663,-1.31,0.0,0.0631338729701039,1.5707963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.42874593131628,4.166390567151804,0.0,0.0,0.0,0.0,-26.026273585582743,7.062479816844638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,130.0,130.0,200.0,220.0,0.0,0.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,200.0,200.0,100.0,200.0,200.0,200.0,5.0,3.0,6.0,7.0,0.0,0.0,5.0,3.0,6.0,7.0,0.0,0.0,4.0,0.2,0.2,4.0,0.2,0.2,0.2,4.0,0.2,0.2,4.0,0.2,0.2,0.2
